Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
,,1990,Early Modern APFSDS Ammunition,Early Modern APFSDS Ammunition,,AP Ammo VII,ap_6p,,,80,,,,,,,,,,550,,,,,,,,,,,,,1.75,,0.05,,,,,,,,
,,2000,Modern APFSDS Ammunition,Modern APFSDS Ammunition,,AP Ammo VIII,ap_7p,,,90,,,,,,,,,,650,,,,,,,,,,,,,2,,0.05,,,,,,,,
,,2015,Advanced Modern APFSDS Ammunition,Advanced Modern APFSDS Ammunition,,AP Ammo IX,ap_8p,,,100,,,,,,,,,,775,,,,,,,,,,,,,2.25,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Armor Piercing DU,1980,Advanced DU APFSDS Ammunition,Advanced DU APFSDS Ammunition,,AP DU Ammo I,ap_du_1p,,,78,,,,,,,,,,500,,,,,,,,,,,,,1.8,,0.05,,,,,,,,
,,1990,Early Modern DU APFSDS Ammunition,Early Modern DU APFSDS Ammunition,,AP DU Ammo II,ap_du_2p,,,88,,,,,,,,,,600,,,,,,,,,,,,,2.05,,0.05,,,,,,,,
,,2000,Modern DU APFSDS Ammunition,Modern DU APFSDS Ammunition,,AP DU Ammo III,ap_du_3p,,,98,,,,,,,,,,700,,,,,,,,,,,,,2.3,,0.05,,,,,,,,
,,2015,Advanced Modern DU APFSDS Ammunition,Advanced Modern DU APFSDS Ammunition,,AP DU Ammo IV,ap_du_4p,,,108,,,,,,,,,,825,,,,,,,,,,,,,2.55,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEAT,1942,WWII HEAT Ammunition,Mid-WWII HEAT Ammunition,,HEAT Ammo I,heat_0p,,,25,,5,,,,,,,,200,,,,,,,,,,,,,0.75,,0.05,,,,,,,,
,,1950,Post-WWII HEAT Ammunition,Post-WWII HEAT Ammunition,,HEAT Ammo II,heat_1p,,,35,,7.5,,,,,,,,300,,,,,,,,,,,,,1,,0.05,,,,,,,,
,,1960,Early Cold War HEAT Ammunition,Early Cold War HEAT Ammunition,,HEAT Ammo III,heat_2p,,,45,,10,,,,,,,,400,,,,,,,,,,,,,1.25,,0.05,,,,,,,,
,,1970,Mid-Cold War HEAT Ammunition,Mid-Cold War HEAT Ammunition,,HEAT Ammo IV,heat_3p,,,55,,12.5,,,,,,,,415,,,,,,,,,,,,,1.5,,0.05,,,,,,,,
,,1980,Late Cold War HEAT Ammunition,Late Cold War HEAT Ammunition,,HEAT Ammo V,heat_4p,,,65,,15,,,,,,,,430,,,,,,,,,,,,,1.75,,0.05,,,,,,,,
,,1990,Early Modern HEAT Ammunition,Early Modern HEAT Ammunition,,HEAT Ammo VI,heat_5p,,,75,,17.5,,,,,,,,445,,,,,,,,,,,,,2,,0.05,,,,,,,,
,,2000,Modern HEAT Ammunition,Modern HEAT Ammunition,,HEAT Ammo VII,heat_6p,,,85,,20,,,,,,,,460,,,,,,,,,,,,,2.25,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEAT DU,1985,Late Cold War DU HEAT Ammunition,Late Cold War DU HEAT Ammunition,,DU HEAT Ammo I,heat_du_1p,,,67,,12.5,,,,,,,,475,,,,,,,,,,,,,2.05,,0.05,,,,,,,,
,,1995,Early Modern DU HEAT Ammunition,Early Modern DU HEAT Ammunition,,DU HEAT Ammo II,heat_du_2p,,,77,,15,,,,,,,,490,,,,,,,,,,,,,2.3,,0.05,,,,,,,,
,,2005,Modern DU HEAT Ammunition,Modern DU HEAT Ammunition,,DU HEAT Ammo III,heat_du_3p,,,87,,17.5,,,,,,,,505,,,,,,,,,,,,,2.55,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEAT MP,1985,Late Cold War HEAT-MP Ammunition,Late Cold War HEAT-MP Ammunition,,HEAT-MP Ammo I,heat_mp_1p,,,57.5,,22.5,,,,,,,,400,,,,,,,,,,,,,,,0.05,,,,,,,,
,,1995,Early Modern HEAT-MP Ammunition,Early Modern HEAT-MP Ammunition,,HEAT-MP Ammo II,heat_mp_2p,,,62.5,,25,,,,,,,,410,,,,,,,,,,,,,,,0.05,,,,,,,,
,,2005,Modern HEAT-MP Ammunition,Modern HEAT-MP Ammunition,,HEAT-MP Ammo III,heat_mp_3p,,,67.5,,27.5,,,,,,,,420,,,,,,,,,,,,,,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HESH,1955,HESH Ammunition,HESH Ammunition,,HESH Ammo I,hesh_p,,,35,,12.5,,,,,,,,120,,,,,,,,,,,,,,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GL ATGM,1965,Early Cold War ATGM Ammunition,ATGM 1965,,GL ATGM Ammo I,gl_atgm_0p,,,75,,2.5,,,,,,,,400,,,,,,,,,,,,,,,0.05,,,,,,,,
,,1975,Mid-Cold War ATGM Ammunition,ATGM 1975,,GL ATGM Ammo II,gl_atgm_1p,,,85,,4,,,,,,,,500,,,,,,,,,,,,,,,0.05,,,,,,,,
,,1985,Late Cold War ATGM Ammunition,ATGM 1985,,GL ATGM Ammo III,gl_atgm_2p,,,95,,5.5,,,,,,,,600,,,,,,,,,,,,,,,0.05,,,,,,,,
,,1995,Early Modern ATGM Ammunition,ATGM 1995,,GL ATGM Ammo IV,gl_atgm_3p,,,105,,7,,,,,,,,700,,,,,,,,,,,,,,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HE,1942,WWII HE Ammunition,WWII HE Ammunition,,HE Ammo I,tank_he_0p,,,2.5,,10,,,,,,,,20,,,,,,,,,,,,,,,0.05,,,,,,,,
,,1955,Post-WWII HE Ammunition,Post-WWII HE Ammunition,,HE Ammo II,tank_he_1p,,,5,,15,,,,,,,,25,,,,,,,,,,,,,,,0.05,,,,,,,,
,,1970,Mid-Cold War HE Ammunition,Mid-Cold War HE Ammunition,,HE Ammo III,tank_he_2p,,,7.5,,20,,,,,,,,30,,,,,,,,,,,,,,,0.05,,,,,,,,
,,1985,Late Cold War HE Ammunition,Late Cold War HE Ammunition,,HE Ammo IV,tank_he_3p,,,10,,25,,,,,,,,35,,,,,,,,,,,,,,,0.05,,,,,,,,
,,2015,Modern HE Ammunition,Modern HE Ammunition,,HE Ammo V,tank_he_4p,,,12.5,,30,,,,,,,,40,,,,,,,,,,,,,,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavy ATGM,1965,Early Cold War Heavy ATGM Ammunition,ATGM 1965,,Heavy ATGM Ammo I,h_atgm_0,,,,,3,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,
,,1975,Mid-Cold War Heavy ATGM Ammunition,ATGM 1975,,Heavy ATGM Ammo II,h_atgm_1,,,,,4.5,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,
,,1985,Late Cold War Heavy ATGM Ammunition,ATGM 1985,,Heavy ATGM Ammo III,h_atgm_2,,,,,6,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,
,,1995,Early Modern Heavy ATGM Ammunition,ATGM 1995,,Heavy ATGM Ammo IV,h_atgm_3,,,,,7.5,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
,,2005,Modern Heavy ATGM Ammunition,ATGM 2005,,Heavy ATGM Ammo V,h_atgm_4,,,,,9,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Tank Ammo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Tank Ammo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATGM Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
